ride_id,rideable_type,start_time,started_at,ended_at,start_station_name,end_station_name,member_casual,date,month,season
310C2280DA70BF74,classic_bike,2022-04-15 20:53:26,2022-04-15 20:53:26,2022-04-15 20:58:02,JC Medical Center,Dixon Mills,member,2022-04-15,4,Spring
B53AD8019D2FE20B,classic_bike,2022-04-08 19:03:50,2022-04-08 19:03:50,2022-04-08 19:17:34,Hoboken Terminal - Hudson St & Hudson Pl,Hamilton Park,casual,2022-04-08,4,Spring
F16CAF15E2D42D7C,electric_bike,2022-04-27 17:08:21,2022-04-27 17:08:21,2022-04-27 18:11:31,Church Sq Park - 5 St & Park Ave,Marshall St & 2 St,casual,2022-04-27,4,Spring
6E60FF2E8E2B87BF,classic_bike,2022-04-28 12:27:48,2022-04-28 12:27:48,2022-04-28 12:35:30,Columbus Park - Clinton St & 9 St,Marshall St & 2 St,member,2022-04-28,4,Spring
C026F6B3EEF24654,electric_bike,2022-04-26 19:39:12,2022-04-26 19:39:12,2022-04-26 19:43:06,JC Medical Center,Jersey & 3rd,casual,2022-04-26,4,Spring
6294DE92ECFF8407,electric_bike,2022-04-22 10:12:34,2022-04-22 10:12:34,2022-04-22 10:23:07,Pershing Field,Stevens - River Ter & 6 St,member,2022-04-22,4,Spring
83D93923C3C4C103,classic_bike,2022-04-20 16:46:56,2022-04-20 16:46:56,2022-04-20 17:03:02,Harborside,Stevens - River Ter & 6 St,casual,2022-04-20,4,Spring
F7E03C0D1A153399,electric_bike,2022-04-08 15:38:03,2022-04-08 15:38:03,2022-04-08 15:41:46,Church Sq Park - 5 St & Park Ave,Mama Johnson Field - 4 St & Jackson St,casual,2022-04-08,4,Spring
8E76CDFB174923E7,electric_bike,2022-04-03 14:17:05,2022-04-03 14:17:05,2022-04-03 14:22:10,Hoboken Terminal - Hudson St & Hudson Pl,Southwest Park - Jackson St & Observer Hwy,member,2022-04-03,4,Spring
A8C87572257C2C38,classic_bike,2022-04-30 07:46:52,2022-04-30 07:46:52,2022-04-30 07:55:15,Church Sq Park - 5 St & Park Ave,Adams St & 11 St,member,2022-04-30,4,Spring
8B66EA7FC93B882F,classic_bike,2022-04-05 07:22:28,2022-04-05 07:22:28,2022-04-05 07:24:55,Marin Light Rail,Grand St,member,2022-04-05,4,Spring
B007341697EA135C,classic_bike,2022-04-20 20:54:24,2022-04-20 20:54:24,2022-04-20 20:58:32,Hoboken Terminal - Hudson St & Hudson Pl,Southwest Park - Jackson St & Observer Hwy,member,2022-04-20,4,Spring
641A81CFA760C693,classic_bike,2022-04-23 10:32:53,2022-04-23 10:32:53,2022-04-23 10:45:01,Harborside,Southwest Park - Jackson St & Observer Hwy,casual,2022-04-23,4,Spring
F6FCDC8D955FCFD8,classic_bike,2022-04-23 00:26:24,2022-04-23 00:26:24,2022-04-23 00:29:14,Marshall St & 2 St,Madison St & 1 St,member,2022-04-23,4,Spring
C8E037572F24059F,electric_bike,2022-04-18 18:12:35,2022-04-18 18:12:35,2022-04-18 18:16:56,Marshall St & 2 St,Clinton St & 7 St,casual,2022-04-18,4,Spring
2936F0654571A248,electric_bike,2022-04-29 19:32:26,2022-04-29 19:32:26,2022-04-29 19:42:05,Mama Johnson Field - 4 St & Jackson St,Hoboken Ave at Monmouth St,casual,2022-04-29,4,Spring
AC4C7971DFE44515,electric_bike,2022-04-06 14:26:08,2022-04-06 14:26:08,2022-04-06 14:33:26,Church Sq Park - 5 St & Park Ave,Hoboken Ave at Monmouth St,casual,2022-04-06,4,Spring
4FA1790E7586DFE2,electric_bike,2022-04-10 21:38:06,2022-04-10 21:38:06,2022-04-10 21:46:55,Newark Ave,Fairmount Ave,casual,2022-04-10,4,Spring
3A41290D1DBAB71B,classic_bike,2022-04-21 17:55:38,2022-04-21 17:55:38,2022-04-21 18:05:27,Hoboken Terminal - Hudson St & Hudson Pl,Columbus Park - Clinton St & 9 St,member,2022-04-21,4,Spring
7707D367578FD9EB,classic_bike,2022-04-21 18:57:32,2022-04-21 18:57:32,2022-04-21 19:04:52,City Hall - Washington St & 1 St,Marshall St & 2 St,member,2022-04-21,4,Spring
87351EFDBC82754A,electric_bike,2022-04-20 15:34:37,2022-04-20 15:34:37,2022-04-20 16:11:44,Harborside,Pershing Field,casual,2022-04-20,4,Spring
566D40E83A536BF5,classic_bike,2022-04-17 16:34:16,2022-04-17 16:34:16,2022-04-17 16:34:18,Marshall St & 2 St,Marshall St & 2 St,member,2022-04-17,4,Spring
A797F45BA07AF6AF,docked_bike,2022-04-29 11:57:06,2022-04-29 11:57:06,2022-04-29 12:24:42,Hoboken Terminal - Hudson St & Hudson Pl,Hoboken Terminal - Hudson St & Hudson Pl,casual,2022-04-29,4,Spring
95E55463277191F6,classic_bike,2022-04-10 15:05:15,2022-04-10 15:05:15,2022-04-10 15:10:21,City Hall - Washington St & 1 St,Marshall St & 2 St,member,2022-04-10,4,Spring
5656892C12DFA3E6,classic_bike,2022-04-09 03:26:17,2022-04-09 03:26:17,2022-04-09 03:41:38,Journal Square,Pershing Field,member,2022-04-09,4,Spring
C193227222D0CB9D,classic_bike,2022-04-24 12:24:20,2022-04-24 12:24:20,2022-04-24 12:41:09,Hoboken Terminal - Hudson St & Hudson Pl,Grove St PATH,member,2022-04-24,4,Spring
EF8FCDA9AA28CFE7,electric_bike,2022-04-29 07:49:14,2022-04-29 07:49:14,2022-04-29 08:00:04,Christ Hospital,Newport PATH,member,2022-04-29,4,Spring
5E417CA77079D7BE,classic_bike,2022-04-05 15:39:14,2022-04-05 15:39:14,2022-04-05 15:47:44,Brunswick St,Newport PATH,member,2022-04-05,4,Spring
CB92C6ACB83DF140,classic_bike,2022-04-29 20:38:08,2022-04-29 20:38:08,2022-04-29 20:50:58,Jersey & 3rd,Jersey & 3rd,member,2022-04-29,4,Spring
D8A724490425D6BA,classic_bike,2022-04-14 07:50:39,2022-04-14 07:50:39,2022-04-14 07:59:31,Newark Ave,Newport PATH,member,2022-04-14,4,Spring
BA1050FDCB1FC334,classic_bike,2022-04-11 12:57:34,2022-04-11 12:57:34,2022-04-11 13:06:02,Columbus Dr at Exchange Pl,Newport PATH,member,2022-04-11,4,Spring
90A93B21DD288879,classic_bike,2022-04-26 17:33:31,2022-04-26 17:33:31,2022-04-26 17:40:50,Journal Square,Pershing Field,member,2022-04-26,4,Spring
78D0B397F0E748F6,classic_bike,2022-04-27 18:08:35,2022-04-27 18:08:35,2022-04-27 18:17:17,Stevens - River Ter & 6 St,Marshall St & 2 St,member,2022-04-27,4,Spring
6154212180C9FA49,classic_bike,2022-04-24 15:58:00,2022-04-24 15:58:00,2022-04-24 16:26:13,Liberty Light Rail,Marshall St & 2 St,casual,2022-04-24,4,Spring
85F303608ECB6A5F,classic_bike,2022-04-26 06:20:19,2022-04-26 06:20:19,2022-04-26 06:25:56,Madison St & 10 St,8 St & Washington St,member,2022-04-26,4,Spring
2B1603A06867169A,electric_bike,2022-04-22 17:01:30,2022-04-22 17:01:30,2022-04-22 17:11:01,Hoboken Ave at Monmouth St,Clinton St & Newark St,casual,2022-04-22,4,Spring
DB0EC4BB36204CD9,classic_bike,2022-04-14 17:08:50,2022-04-14 17:08:50,2022-04-14 17:16:39,Stevens - River Ter & 6 St,Clinton St & Newark St,member,2022-04-14,4,Spring
9401E0C21749C038,classic_bike,2022-04-21 17:23:12,2022-04-21 17:23:12,2022-04-21 17:28:46,Stevens - River Ter & 6 St,Clinton St & Newark St,member,2022-04-21,4,Spring
3B978DE012F41A27,electric_bike,2022-04-21 10:28:26,2022-04-21 10:28:26,2022-04-21 10:34:54,Astor Place,Journal Square,member,2022-04-21,4,Spring
118183C8D43BAFA7,classic_bike,2022-04-06 13:49:41,2022-04-06 13:49:41,2022-04-06 13:59:42,Oakland Ave,Journal Square,member,2022-04-06,4,Spring
2B0AE383B1ECDC49,electric_bike,2022-04-23 16:19:28,2022-04-23 16:19:28,2022-04-23 16:32:08,Manila & 1st,Liberty Light Rail,member,2022-04-23,4,Spring
8CFA1225027AC9A8,classic_bike,2022-04-22 16:43:35,2022-04-22 16:43:35,2022-04-22 17:05:49,Liberty Light Rail,Liberty Light Rail,member,2022-04-22,4,Spring
DBD03E2F1ED2E775,electric_bike,2022-04-16 11:48:48,2022-04-16 11:48:48,2022-04-16 11:54:09,Marin Light Rail,Liberty Light Rail,member,2022-04-16,4,Spring
